"KEGG Organisms: Complete Genomes"
"Eukaryotes: 542   Bacteria: 6047   Archaea: 338"
"epr    Erwinia pyrifoliae DSM 12163                                        2012 GenBank"
"Erwinia           ebi   Erwinia billingiae                                                  2010 GenBank"
"erj   Erwinia sp. Ejp617                                                  2012 GenBank"
""
"ege    Erwinia gerundensis                                                 2016 GenBank"
"epe    Erwinia persicina                                                   2018 GenBank"
"ehd    Candidatus Erwinia haradaeae                                        2019 GenBank"
"erwi   Erwinia sp. J780                                                    2020 GenBank"
"buc    Buchnera aphidicola APS (Acyrthosiphon pisum)                       2000 RefSeq"
"bap    Buchnera aphidicola 5A (Acyrthosiphon pisum)                        2009 GenBank"
"bau    Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)                      2009 GenBank"
"baw    Buchnera aphidicola JF98 (Acyrthosiphon pisum)                      2012 GenBank"
"bajc   Buchnera aphidicola JF99 (Acyrthosiphon pisum)                      2012 GenBank"
"bua    Buchnera aphidicola LL01 (Acyrthosiphon pisum)                      2012 GenBank"
"bup    Buchnera aphidicola TLW03 (Acyrthosiphon pisum)                     2012 GenBank"
"bak    Buchnera aphidicola Ak (Acyrthosiphon kondoi)                       2012 GenBank"
"buh    Buchnera aphidicola Ua (Uroleucon ambrosiae)                        2012 GenBank"
"Buchnera"
"bapf   Buchnera aphidicola F009 (Myzus persicae)                           2014 GenBank"
"bapg Buchnera aphidicola G002 (Myzus persicae)                             2014 GenBank"
"bapu Buchnera aphidicola USDA (Myzus persicae)                             2014 GenBank"
"bapw Buchnera aphidicola W106 (Myzus persicae)                             2014 GenBank"
"bas    Buchnera aphidicola Sg (Schizaphis graminum)                        2002 GenBank"
"bab    Buchnera aphidicola Bp (Baizongia pistaciae)                        2003 GenBank"
"bcc    Buchnera aphidicola BCc                                             2006 GenBank"
"baj   Buchnera aphidicola (Cinara tujafilina)                             2011 GenBank"
"baph Buchnera aphidicola (Aphis glycines)                                  2017 GenBank"
"wbr    Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis     2002 GenBank"
"Wigglesworthia"
"wgl    Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitan 2012 GenBank"
"pam    Pantoea ananatis LMG 20103                                          2010 GenBank"
"plf   Pantoea ananatis LMG 5342                                           2012 GenBank"
"paj   Pantoea ananatis AJ13355                                            2012 GenBank"
"paq    Pantoea ananatis PA13                                               2012 GenBank"
"pva    Pantoea vagans C9-1                                                 2010 GenBank"
"pagg Pantoea vagans FDAARGOS_160                                           2016 GenBank"
"pao    Pantoea sp. At-9b                                                   2011 GenBank"
"kln   Pantoea rwandensis                                                  2014 GenBank"
"pant   Pantoea sp. PSNIH1                                                  2014 GenBank"
"Pantoea"
"panp Pantoea sp. PSNIH2                                                    2015 GenBank"
"hhs    Candidatus Pantoea carbekii                                         2013 GenBank"
"pck    Candidatus Pantoea carbekii US                                      2015 GenBank"
"pagc Pantoea agglomerans C410P1                                            2017 GenBank"
"pstw Pantoea stewartii subsp. stewartii                                    2017 GenBank"
"palh   Pantoea alhagi                                                      2017 GenBank"
"pans Pantoea sp. SO10                                                      2019 GenBank"
"pey    Pantoea eucalypti                                                   2019 GenBank"
"pdis   Pantoea dispersa                                                    2020 GenBank"
"pgz    Mixta gaviniae                                                      2018 GenBank"
"pcd    Mixta calida                                                        2018 GenBank"
"Mixta"
"mint   Mixta intestinalis                                                  2020 GenBank"
"mthi   Mixta theicola                                                      2020 GenBank"
"tci   Tatumella citrea                                                    2017 GenBank"
"Tatumella"
"tpty   Tatumella ptyseos                                                   2018 GenBank"
"plu   Photorhabdus laumondii subsp. laumondii TTO1                        2003 GenBank"
"plum Photorhabdus laumondii subsp. laumondii DSPV002N                      2018 GenBank"
"Photorhabdus"
"pay    Photorhabdus asymbiotica                                            2009 GenBank"
"ptt   Photorhabdus thracensis                                             2015 GenBank"
"pmr    Proteus mirabilis HI4320                                            2008 GenBank"
"pmib Proteus mirabilis BB2000                                              2013 GenBank"
"pvl   Proteus mirabilis CYPV1                                             2016 GenBank"
"pvg    Proteus vulgaris                                                    2018 GenBank"
"Proteus          phau Proteus hauseri                                                       2019 GenBank"
"prot   Proteus sp. CD3                                                     2019 GenBank"
"pcib   Proteus cibarius                                                    2019 GenBank"
"                  pcol   Proteus columbae                                     2020 GenBank"
"xbo    Xenorhabdus bovienii SS-2004                         2010 GenBank"
"xbv    Xenorhabdus bovienii CS03                            2015 GenBank"
"xne    Xenorhabdus nematophila ATCC 19061                   2010 GenBank"
"Xenorhabdus       xnm    Xenorhabdus nematophila AN6/1                        2015 GenBank"
"xdo    Xenorhabdus doucetiae                                2015 GenBank"
"xpo    Xenorhabdus poinarii                                 2015 GenBank"
"xho    Xenorhabdus hominickii                               2016 GenBank"
"psi    Providencia stuartii MRSN 2154                       2012 GenBank"
"psx    Providencia stuartii ATCC 33672                      2014 GenBank"
"psta   Providencia stuartii BE2467                          2017 GenBank"
"prg    Providencia rettgeri                                 2016 GenBank"
"Providencia       pala   Providencia alcalifaciens                            2017 GenBank"
"phei   Providencia heimbachae                               2018 GenBank"
"prq    Providencia sp. WCHPHu000369                         2018 GenBank"
"prj   Providencia rustigianii                              2019 GenBank"
"pvc    Providencia vermicola                                2020 GenBank"
"Morganella        mmk Morganella morganii                                     2013 GenBank"
"asy    Candidatus Arsenophonus lipoptenae                   2016 GenBank"
"Arsenophonus      aen    Arsenophonus endosymbiont of Aleurodicus dispersus   2018 GenBank"
"ans    Arsenophonus nasoniae                                2019 GenBank"
"eic    Edwardsiella ictaluri                                2009 GenBank"
"etr   Edwardsiella tarda EIB202                            2009 GenBank"
"etd    Edwardsiella tarda FL6-60                            2012 GenBank"
"ete    Edwardsiella anguillarum                             2014 GenBank"
"Edwardsiella"
"etc    Edwardsiella piscicida C07-087                       2013 GenBank"
"edw    Edwardsiella sp. EA181011                            2015 GenBank"
"edl    Edwardsiella sp. LADL05-105                          2015 GenBank"
"eho    Edwardsiella hoshinae                                2016 GenBank"
"hav    Hafnia alvei                                         2014 GenBank"
"Hafnia"
"hpar   Hafnia paralvei                                      2018 GenBank"
"Obesumbacterium   opo    Obesumbacterium proteus                              2016 GenBank"
"Limnobaculum      lpv    Limnobaculum parvum                                  2018 GenBank"
"pfq    Pragia fontium                                       2015 GenBank"
"Pragia"
"prag   Pragia sp. CF-458                                    2019 GenBank"
"Leminorella        lri   Leminorella richardii                                2018 GenBank"
"Plesiomonas       pshi   Plesiomonas shigelloides                             2016 GenBank"
"hin    Haemophilus influenzae Rd KW20 (serotype d)          1995 GenBank"
"hit   Haemophilus influenzae 86-028NP (nontypeable)        2005 GenBank"
"hip    Haemophilus influenzae PittEE (nontypeable)          2007 GenBank"
"hiq    Haemophilus influenzae PittGG (nontypeable)          2007 GenBank"
"hif   Haemophilus influenzae F3031 (nontypeable)           2011 GenBank"
"hil   Haemophilus influenzae F3047 (nontypeable)           2011 GenBank"
"hiu    Haemophilus influenzae 10810 (serotype b)            2012 GenBank"
"hie    Haemophilus influenzae R2846 (nontypeable)           2012 GenBank"
"hiz    Haemophilus influenzae R2866 (nontypeable)           2012 GenBank"
""
"hik    Haemophilus influenzae KR494 (serotype f)            2013 GenBank"
""
"Haemophilus       hia    Haemophilus influenzae CGSHiCZ412602                 2014 GenBank"
"hih    Haemophilus influenzae Hi375                         2014 GenBank"
"hiw    Haemophilus influenzae 477                           2015 GenBank"
"hic    Haemophilus influenzae C486                          2015 GenBank"
"hix    Haemophilus influenzae 723                           2015 GenBank"
"hpr    Haemophilus parainfluenzae                           2011 GenBank"
"hdu    Haemophilus ducreyi                                  2003 GenBank"
"hay    Haemophilus sp. oral taxon 036                       2018 GenBank"
"hpit   Haemophilus pittmaniae                               2019 GenBank"
"hhz    Haemophilus haemolyticus                             2019 GenBank"
"haeg Haemophilus aegyptius                                  2020 GenBank"
"hpaa Haemophilus parahaemolyticus                           2020 GenBank"
"hap    Glaesserella parasuis SH0165                         2009 GenBank"
"hpaz Glaesserella parasuis ZJ0906                           2013 GenBank"
"Glaesserella      hpas Glaesserella parasuis SH03                             2014 GenBank"
"hpak Glaesserella parasuis KL0318                           2014 GenBank"
"gle    Glaesserella sp. 15-184                              2018 GenBank"
"hso    Histophilus somni 129PT                              2006 GenBank"
"Histophilus"
"hsm    Histophilus somni 2336                               2008 GenBank"
"pmu    Pasteurella multocida subsp. multocida Pm70          2001 GenBank"
"pmv    Pasteurella multocida subsp. multocida HN06          2012 GenBank"
"pul    Pasteurella multocida subsp. multocida 3480          2012 GenBank"
"Pasteurella                    pmp     Pasteurella multocida 36950                         2012 GenBank"
"pmul Pasteurella multocida ATCC 43137                       2014 GenBank"
"pdag Pasteurella dagmatis                                   2018 GenBank"
"psky Pasteurella skyensis                                   2020 GenBank"
"msu     Mannheimia succiniciproducens                       2004 GenBank"
"Basfia"
"bsun Basfia succiniciproducens                              2020 GenBank"
"mht    Mannheimia haemolytica USDA-ARS-USMARC-185          2013 GenBank"
"mhq     Mannheimia haemolytica USDA-ARS-USMARC-183          2013 GenBank"
"mhat Mannheimia haemolytica USDA-ARS-USMARC-184             2015 GenBank"
"mhx     Mannheimia haemolytica M42548                       2013 GenBank"
"mhae Mannheimia haemolytica D153                            2013 GenBank"
"mham Mannheimia haemolytica D171                            2013 GenBank"
"mhao Mannheimia haemolytica D174                            2013 GenBank"
"mhal Mannheimia haemolytica USMARC_2286                     2013 GenBank"
"Mannheimia"
"mhaq Mannheimia haemolytica 89010807N                       2015 GenBank"
"mhay Mannheimia haemolytica 89010807N lktA-                 2015 GenBank"
"mvr    Mannheimia sp. USDA-ARS-USMARC-1261                 2014 GenBank"
"mvi    Mannheimia varigena USDA-ARS-USMARC-1296            2014 GenBank"
"mvg     Mannheimia varigena USDA-ARS-USMARC-1312            2014 GenBank"
"mve     Mannheimia varigena USDA-ARS-USMARC-1388            2014 GenBank"
"mann Mannheimia sp. ZY170218                                2020 GenBank"
"mgra Mannheimia granulomatis                                2020 GenBank"
"apl    Actinobacillus pleuropneumoniae L20 (serotype 5b)   2007 GenBank"
"apj    Actinobacillus pleuropneumoniae JL03 (serotype 3)   2008 GenBank"
"apa    Actinobacillus pleuropneumoniae AP76 (serotype 7)   2008 GenBank"
"asu    Actinobacillus succinogenes                         2007 GenBank"
"asi    Actinobacillus suis H91-0380                        2012 GenBank"
"Actinobacillus                  ass    Actinobacillus suis ATCC 33415                      2014 GenBank"
"aeu    Actinobacillus equuli subsp. equuli                 2014 GenBank"
"apor    Actinobacillus porcitonsillarum                     2018 GenBank"
"aio    Actinobacillus indolicus                            2019 GenBank"
"adp    Actinobacillus delphinicola                         2020 GenBank"
"alig   Actinobacillus lignieresii                          2020 GenBank"
"aap    Aggregatibacter aphrophilus NJ8700                  2009 GenBank"
"aaz    Aggregatibacter aphrophilus W10433                  2016 GenBank"
"aat    Aggregatibacter actinomycetemcomitans D11S-1        2009 GenBank"
"aao    Aggregatibacter actinomycetemcomitans ANH9381       2012 GenBank"
"Aggregatibacter                 aan    Aggregatibacter actinomycetemcomitans D7S-1         2012 GenBank"
"aah    Aggregatibacter actinomycetemcomitans HK1651        2014 GenBank"
"aacn Aggregatibacter actinomycetemcomitans NUM4039          2016 GenBank"
"aact    Aggregatibacter actinomycetemcomitans 624           2017 GenBank"
"aseg Aggregatibacter segnis                                 2019 GenBank"
"Gallibacterium                  gan    Gallibacterium anatis                               2011 GenBank"
"bto    Bibersteinia trehalosi USDA-ARS-USMARC-192          2013 GenBank"
"btre    Bibersteinia trehalosi USDA-ARS-USMARC-188          2014 GenBank"
"Bibersteinia"
"btrh    Bibersteinia trehalosi USDA-ARS-USMARC-189          2014 GenBank"
"btra    Bibersteinia trehalosi USDA-ARS-USMARC-190          2014 GenBank"
"apag Avibacterium paragallinarum                            2018 GenBank"
"Avibacterium"
"avt    Avibacterium volantium                              2020 GenBank"
"rpne    Rodentibacter pneumotropicus                        2019 GenBank"
"Rodentibacter"
"rhey    Rodentibacter heylii                                2020 GenBank"
"Otariodibacter                  ooi    Otariodibacter oris                                 2019 GenBank"
"Frederiksenia                   fcl    Frederiksenia canicola                              2020 GenBank"
"Bisgaardia                     bhud Bisgaardia hudsonensis                                 2020 GenBank"
"unclassified Pasteurellaceae   paet    Pasteurella aerogenes                               2019 GenBank"
"xfa    Xylella fastidiosa 9a5c                             2000 GenBank"
"xft    Xylella fastidiosa Temecula1                        2003 GenBank"
"xfm    Xylella fastidiosa M12                              2008 GenBank"
"xfn    Xylella fastidiosa M23                              2008 GenBank"
"Xylella                         xff    Xylella fastidiosa subsp. fastidiosa GB514          2012 GenBank"
"xfl    Xylella fastidiosa MUL0034                          2014 GenBank"
"xfs    Xylella fastidiosa subsp. sandyi Ann-1              2014 GenBank"
"xfh    Xylella fastidiosa Hib4                             2017 GenBank"
"xtw    Xylella taiwanensis                                 2018 GenBank"
"xcc    Xanthomonas campestris pv. campestris ATCC 33913    2002 RefSeq"
"xcb    Xanthomonas campestris pv. campestris 8004          2005 GenBank"
"xca    Xanthomonas campestris pv. campestris B100          2008 GenBank"
"xcp    Xanthomonas campestris pv. raphani                  2012 GenBank"
"xcv    Xanthomonas campestris pv. vesicatoria              2005 GenBank"
"xax    Xanthomonas axonopodis pv. citrumelo F1             2011 GenBank"
"                    xac    Xanthomonas citri pv. citri 306             2002 GenBank"
""
"xci   Xanthomonas citri subsp. citri Aw12879      2013 GenBank"
"xct   Xanthomonas citri subsp. citri A306         2015 GenBank"
"xcj   Xanthomonas citri subsp. citri UI6          2015 GenBank"
"xcu    Xanthomonas citri pv. citri UI7             2015 GenBank"
"xcn    Xanthomonas citri pv. citri NT17            2015 GenBank"
"xcw    Xanthomonas citri pv. citri MN10            2015 GenBank"
"xcr    Xanthomonas citri pv. citri MN11            2015 GenBank"
"xcm    Xanthomonas citri pv. citri MN12            2015 GenBank"
"xcf   Xanthomonas citri pv. citri mf20            2015 GenBank"
"xfu    Xanthomonas citri pv. fuscans               2014 GenBank"
"xao    Xanthomonas axonopodis Xac29-1              2013 GenBank"
""
"Xanthomonas         xom    Xanthomonas oryzae pv. oryzae MAFF 311018   2006 GenBank"
"xoo    Xanthomonas oryzae pv. oryzae KACC 10331    2005 GenBank"
"xop    Xanthomonas oryzae pv. oryzae PXO99A        2008 GenBank"
"xoy    Xanthomonas oryzae pv. oryzae PXO86         2015 GenBank"
"xor    Xanthomonas oryzae pv. oryzicola BLS256     2012 GenBank"
"xoz    Xanthomonas oryzae pv. oryzicola CFBP7342   2015 GenBank"
"xal   Xanthomonas albilineans                     2010 GenBank"
"xsa    Xanthomonas sacchari                        2015 GenBank"
"xtn    Xanthomonas translucens                     2015 GenBank"
"xfr   Xanthomonas fragariae                       2017 GenBank"
"xve    Xanthomonas vesicatoria                     2017 GenBank"
"xpe    Xanthomonas perforans                       2017 GenBank"
"xhr    Xanthomonas hortorum                        2017 GenBank"
"xga    Xanthomonas hortorum pv. gardneri           2017 GenBank"
"xph    Xanthomonas phaseoli                        2017 GenBank"
"xva    Xanthomonas vasicola                        2018 GenBank"
"xan    Xanthomonas sp. ISO98C4                     2019 GenBank"
"xar    Xanthomonas arboricola                      2019 GenBank"
"xhy    Xanthomonas hyacinthi                       2020 GenBank"
"xcz    Xanthomonas cucurbitae                      2020 GenBank"
"sml    Stenotrophomonas maltophilia K279a          2008 GenBank"
"smt    Stenotrophomonas maltophilia R551-3         2008 GenBank"
"buj    Stenotrophomonas maltophilia JV3            2011 GenBank"
"smz    Stenotrophomonas maltophilia D457           2012 GenBank"
"sacz Stenotrophomonas acidaminiphila               2016 GenBank"
"Stenotrophomonas    stek   Stenotrophomonas sp. KCTC 12332             2016 GenBank"
"srh    Stenotrophomonas rhizophila                 2016 GenBank"
"slm    Stenotrophomonas sp. LM091                  2017 GenBank"
"sten   Stenotrophomonas sp. WZN-1                  2017 GenBank"
"stem Stenotrophomonas sp. MYb57                    2018 GenBank"
"stes   Stenotrophomonas sp. ASS1                   2019 GenBank"
"psu    Pseudoxanthomonas suwonensis 11-1           2011 GenBank"
"psuw Pseudoxanthomonas suwonensis J1               2016 GenBank"
"Pseudoxanthomonas"
"psd    Pseudoxanthomonas spadix                    2011 GenBank"
"pmex Pseudoxanthomonas mexicana                    2020 GenBank"
"lab    Lysobacter antibioticus 76                  2016 GenBank"
"laq    Lysobacter antibioticus ATCC 29479          2016 GenBank"
"lcp   Lysobacter capsici                          2016 GenBank"
"lgu    Lysobacter gummosus                         2016 GenBank"
"lez   Lysobacter enzymogenes C3                   2016 GenBank"
"Lysobacter          lem    Lysobacter enzymogenes M497-1               2017 GenBank"
"lmb    Lysobacter maris                            2018 GenBank"
"lyt   Lysobacter sp. TY2-98                       2018 GenBank"
"lue    Lysobacter oculi                            2018 GenBank"
"lyj   Lysobacter sp. SJ-36                        2019 GenBank"
"lsol   Lysobacter soli                             2019 GenBank"
"lum    Luteimonas chenhongjianii                   2017 GenBank"
"Luteimonas           lus   Luteimonas yindakuii                        2019 GenBank"
"lug    Luteimonas granuli                          2019 GenBank"
"thes   Thermomonas sp. SY21                        2019 GenBank"
"theh   Thermomonas sp. HDW16                       2020 GenBank"
"Thermomonas"
"tcn    Thermomonas carbonis                        2020 GenBank"
"tbv    Thermomonas brevis                          2020 GenBank"
"Pseudolysobacter    xbc    Pseudolysobacter antarcticus                2019 GenBank"
"Frateuria           fau    Frateuria aurantia                          2012 GenBank"
"rhd    Rhodanobacter denitrificans                 2013 GenBank"
"Rhodanobacter        rgl   Rhodanobacter glycinis                      2019 GenBank"
"                 dji   Dyella jiangningensis                      2014 GenBank"
"dja   Dyella japonica                            2014 GenBank"
"Dyella"
"dtx   Dyella thiooxydans                         2016 GenBank"
"dye   Dyella sp. M7H15-1                         2019 GenBank"
"Dokdonella       dko   Dokdonella koreensis                       2016 GenBank"
"lrz   Luteibacter rhizovicinus DSM 16549         2016 GenBank"
"Luteibacter"
"lpy   Luteibacter pinisoli                       2019 GenBank"
"Ahniella         xba   Ahniella affigens                          2018 GenBank"
"Aerosticca       rbd   Aerosticca soli                            2019 GenBank"
"vch   Vibrio cholerae O1 El Tor N16961           2000 RefSeq"
"vcf   Vibrio cholerae O1 El Tor FJ147            2015 GenBank"
"vcs   Vibrio cholerae O1 El Tor MS6              2015 GenBank"
"vce   Vibrio cholerae O1 2010EL-1786             2011 GenBank"
"vcq   Vibrio cholerae O1 2012EL-2176             2014 GenBank"
"vcj   Vibrio cholerae O1 MJ-1236                 2009 GenBank"
"vci   Vibrio cholerae O1 IEC224                  2012 GenBank"
"vco   Vibrio cholerae O1 O395                    2007 GenBank"
"vcr   Vibrio cholerae O1 O395                    2012 GenBank"
"vcm   Vibrio cholerae O1 M66-2                   2009 GenBank"
"vcl   Vibrio cholerae O1 LMA3984-4               2012 GenBank"
"vcx   Vibrio cholerae O49 1154-74                2015 GenBank"
"vcz   Vibrio cholerae O27 10432-62               2015 GenBank"
"vvu   Vibrio vulnificus CMCP6                    2002 GenBank"
"vvy   Vibrio vulnificus YJ016                    2003 GenBank"
"vvm   Vibrio vulnificus MO6-24/O                 2011 GenBank"
"vvl   Vibrio vulnificus 93U204                   2014 GenBank"
"vpa   Vibrio parahaemolyticus RIMD 2210633       2003 RefSeq"
"vpb   Vibrio parahaemolyticus BB22OP             2013 GenBank"
"vpk   Vibrio parahaemolyticus O1:K33 CDC_K4557   2013 GenBank"
"vpf   Vibrio parahaemolyticus O1:Kuk FDA_R31     2013 GenBank"
"vph   Vibrio parahaemolyticus UCM-V493           2014 GenBank"
"vha   Vibrio campbellii                          2007 GenBank"
"vca   Vibrio campbellii                          2013 GenBank"
"vag   Vibrio alginolyticus                       2013 GenBank"
"vex   Vibrio antiquarius                         2009 GenBank"
"Vibrio           vdb   Vibrio diabolicus                          2018 GenBank"
"vhr   Vibrio harveyi                             2016 GenBank"
"vna   Vibrio natriegens                          2017 GenBank"
"vow   Vibrio owensii                             2017 GenBank"
"vro   Vibrio rotiferianus                        2017 GenBank"
"vsp   Vibrio atlanticus                          2008 GenBank"
"vej   Vibrio sp. EJY3                            2012 GenBank"
"vfu   Vibrio furnissii                           2012 GenBank"
"vni   Vibrio nigripulchritudo                    2013 GenBank"
"van   Vibrio anguillarum 775                     2011 GenBank"
"lag   Vibrio anguillarum M3                      2013 GenBank"
"vau   Vibrio anguillarum NB10                    2015 GenBank"
"vcy   Vibrio coralliilyticus RE98                2014 GenBank"
"vct   Vibrio coralliilyticus OCN014              2014 GenBank"
"vtu   Vibrio tubiashii                           2014 GenBank"
"vfl   Vibrio fluvialis                           2016 GenBank"
"vmi   Vibrio mimicus                             2016 GenBank"
"vbr   Vibrio breoganii                           2017 GenBank"
"vsc   Vibrio scophthalmi                         2017 GenBank"
"vga   Vibrio gazogenes                           2017 GenBank"
"vsh   Vibrio mediterranei                        2017 GenBank"
"vqi   Vibrio qinghaiensis                        2018 GenBank"
"vta   Vibrio tapetis subsp. tapetis              2018 GenBank"
"vaf   Vibrio alfacsensis                         2019 GenBank"
"vnl   Vibrio neocaledonicus                      2019 GenBank"
"vcc   Vibrio cyclitrophicus                      2020 GenBank"
"vas   Vibrio astriarenae                         2020 GenBank"
"vfi   Aliivibrio fischeri ES114                  2005 RefSeq"
"vfm   Aliivibrio fischeri MJ11                   2008 GenBank"
"Aliivibrio"
"vsa   Aliivibrio salmonicida                     2008 GenBank"
"awd   Aliivibrio wodanis                         2015 GenBank"
"ppr   Photobacterium profundum                   2004 GenBank"
"Photobacterium   pgb   Photobacterium gaetbulicola                2015 GenBank"
"pds   Photobacterium damselae subsp. damselae    2017 GenBank"
"Grimontia        gho   Grimontia hollisae                         2016 GenBank"
"Paraphotobacterium   pmai Paraphotobacterium marinum                        2017 GenBank"
"saly   Salinivibrio sp. YCSC6                          2019 GenBank"
"Salinivibrio         sks    Salinivibrio kushneri                           2019 GenBank"
"scot   Salinivibrio costicola                          2020 GenBank"
"pae    Pseudomonas aeruginosa PAO1                     2000 RefSeq"
"paev Pseudomonas aeruginosa PAO1-VE13                  2014 GenBank"
"paei   Pseudomonas aeruginosa PAO1-VE2                 2014 GenBank"
"pau    Pseudomonas aeruginosa UCBPP-PA14               2006 GenBank"
"pap    Pseudomonas aeruginosa PA7                      2007 GenBank"
"pag    Pseudomonas aeruginosa LESB58                   2009 GenBank"
"paf   Pseudomonas aeruginosa M18                      2012 GenBank"
"pnc    Pseudomonas aeruginosa NCGM2.S1                 2012 GenBank"
"paeb Pseudomonas aeruginosa NCGM 1900                  2015 GenBank"
"pdk    Pseudomonas aeruginosa DK2                      2012 GenBank"
"psg    Pseudomonas aeruginosa B136-33                  2013 GenBank"
"prp   Pseudomonas aeruginosa RP73                     2013 GenBank"
"paep Pseudomonas aeruginosa PA1                        2013 GenBank"
"paer   Pseudomonas aeruginosa PA1R                     2013 GenBank"
"paem Pseudomonas aeruginosa MTB-1                      2013 GenBank"
"pael   Pseudomonas aeruginosa LES431                   2013 GenBank"
"paes Pseudomonas aeruginosa SCV20265                   2013 GenBank"
"paeu Pseudomonas aeruginosa PA38182                    2014 GenBank"
"paeg Pseudomonas aeruginosa YL84                       2014 GenBank"
"paec Pseudomonas aeruginosa c7447m                     2014 GenBank"
"paeo Pseudomonas aeruginosa PAO581                     2014 GenBank"
"pmy    Pseudomonas mendocina ymp                       2007 GenBank"
"pmk    Pseudomonas mendocina NK-01                     2011 GenBank"
"pre   Pseudomonas resinovorans                        2013 GenBank"
"ppse Pseudomonas pseudoalcaligenes                     2015 GenBank"
"palc   Pseudomonas alcaligenes                         2016 GenBank"
"pcq    Pseudomonas citronellolis                       2017 GenBank"
"ppu    Pseudomonas putida KT2440                       2003 RefSeq"
"ppf   Pseudomonas putida F1                           2007 GenBank"
"ppg    Pseudomonas putida GB-1                         2008 GenBank"
"ppw    Pseudomonas putida W619                         2008 GenBank"
"ppt   Pseudomonas putida S16                          2011 GenBank"
"ppb    Pseudomonas putida BIRD-1                       2012 GenBank"
"ppi   Pseudomonas putida ND6                          2012 GenBank"
"ppx    Pseudomonas putida DOT-T1E                      2012 GenBank"
"ppuh Pseudomonas putida HB3267                         2012 GenBank"
"pput   Pseudomonas putida H8234                        2013 GenBank"
"ppun Pseudomonas putida NBRC 14164                     2013 GenBank"
"ppud Pseudomonas putida DLL-E4                         2014 GenBank"
"pfv   Pseudomonas fulva                               2011 GenBank"
"pmon Pseudomonas monteilii SB3078                      2013 GenBank"
"pmot Pseudomonas monteilii SB3101                      2013 GenBank"
"pmos Pseudomonas soli                                  2014 GenBank"
"ppj   Pseudomonas plecoglossicida                     2015 GenBank"
"por   Pseudomonas oryzihabitans                       2016 GenBank"
"pst   Pseudomonas syringae pv. tomato DC3000          2003 RefSeq"
"psb    Pseudomonas syringae pv. syringae B728a         2005 RefSeq"
"psyr   Pseudomonas syringae CC1557                     2014 GenBank"
"psp    Pseudomonas savastanoi pv. phaseolicola 1448A   2005 GenBank"
"pamg Pseudomonas amygdali                              2018 GenBank"
"pci   Pseudomonas cichorii                            2014 GenBank"
"pavl   Pseudomonas avellanae                           2018 GenBank"
"pvd    Pseudomonas viridiflava                         2020 GenBank"
"pfl   Pseudomonas protegens Pf-5                      2005 GenBank"
"pprc   Pseudomonas protegens CHA0                      2013 GenBank"
"ppro   Pseudomonas protegens Cab57                     2015 GenBank"
"pfo   Pseudomonas fluorescens Pf0-1                   2005 GenBank"
"pfs   Pseudomonas fluorescens SBW25                   2009 GenBank"
"pfe   Pseudomonas fluorescens F113                    2012 GenBank"
"Pseudomonas           pfc   Pseudomonas fluorescens A506                    2012 GenBank"
"pfn   Pseudomonas fluorescens UK4                     2014 GenBank"
"ppz    Pseudomonas poae                                2013 GenBank"
"pfb   Pseudomonas synxantha LBUM223                   2015 GenBank"
"pman Pseudomonas mandelii                              2015 GenBank"
"ptv   Pseudomonas trivialis                           2015 GenBank"
"pcg    Pseudomonas corrugata                           2017 GenBank"
"                 pvr    Pseudomonas veronii                                       2017 GenBank"
"pazo Pseudomonas azotoformans                                    2017 GenBank"
"poi    Pseudomonas orientalis                                    2018 GenBank"
"pfw    Pseudomonas simiae PCL1751                                2015 GenBank"
""
"pff   Pseudomonas simiae PICF7                                  2015 GenBank"
"pfx    Pseudomonas lurida                                        2017 GenBank"
"pen    Pseudomonas entomophila                                   2006 GenBank"
"psa    Pseudomonas stutzeri A1501                                2007 GenBank"
"psz    Pseudomonas stutzeri ATCC 17588                           2011 GenBank"
"psr    Pseudomonas stutzeri DSM 4166                             2012 GenBank"
"psc    Pseudomonas stutzeri CCUG 29243                           2012 GenBank"
"psj   Pseudomonas stutzeri DSM 10701                            2012 GenBank"
"psh    Pseudomonas stutzeri RCH2                                 2012 GenBank"
"pstu   Pseudomonas stutzeri 19SMN4                               2014 GenBank"
"pstt   Pseudomonas stutzeri 28a24                                2014 GenBank"
"pbm    Pseudomonas balearica                                     2015 GenBank"
"plul   Pseudomonas luteola                                       2020 GenBank"
"pba    Pseudomonas brassicacearum subsp. brassicacearum NFM421   2011 GenBank"
"pbc    Pseudomonas brassicacearum DF41                           2014 GenBank"
"ppuu Pseudomonas sp. UW4                                         2012 GenBank"
"pdr    Pseudomonas sp. ATCC 13867                                2013 GenBank"
"psv    Pseudomonas sp. VLB120                                    2013 GenBank"
"psk    Pseudomonas sp. TKP                                       2013 GenBank"
"pkc    Pseudomonas knackmussii                                   2014 GenBank"
"pch    Pseudomonas chlororaphis PA23                             2014 GenBank"
"pcz    Pseudomonas chlororaphis PCL1606                          2015 GenBank"
"pcp    Pseudomonas chlororaphis subsp. aurantiaca                2014 GenBank"
"pfz    Pseudomonas fragi                                         2016 GenBank"
"plq    Pseudomonas lundensis                                     2018 GenBank"
"palk   Pseudomonas alkylphenolica                                2014 GenBank"
"prh    Pseudomonas rhizosphaerae                                 2014 GenBank"
